Country,PWT Code,WDI Code,pop75,pop09,gpop,k1975,k2009,kpw1975,kpw2009,hc1975,hc2009,rgdpwk1975,rgdpwk2009,rgdpch1950,rgdpch1955,rgdpch1960,rgdpch1965,rgdpch1970,rgdpch1975,rgdpch1980,rgdpch1985,rgdpch1990,rgdpch1995,rgdpch2000,rgdpch2005,rgdpch2006,rgdpch2007,rgdpch2008,rgdpch2009,gy7509,prodgrowth,ki1975,ki2009,meanki,natsav09,grodomsav75,grodomsav09,govsp75,govsp09,privcap75,privcap09,fdi75,fdi09,imports75,imports09,trade75,trade09,openfrac,tradetax09,martax09,migration10,labfor75,labfor09,labpop75,labpop09,indgdp75,indgdp09,agrigdp75,agrigdp09,aggdpperagworker09,percemployagr10,natcap00,mindep09,endep09,fordep09,co2emm07,tfr75,tfr09,infmor09,malaria94,malariaecology,calories07,lifeex75,lifeex09,agedep75,agedep09,avgsch75,avgsch2010,secsch09,collegeadultpop2010,compcollegeadultpop2010,avgyrsfemaleed,testscores09,intuser09,tele09,cells09,comp05,gini75,gini09,topincsh09,botincsh09,laborshare,ethnicfractionalization,rulelaw2009,corrcon09,polrights10,instability,soccapability,thrift,obedience,perseverance,faith,techvstrad,trust,work,wellbeing,africa,asia,westerneurope,latitude,area,popden60,# missing values,,Growth rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,KWT,1006892,2489000,2.66,,3.21E+11,,245306.49,1.73,2.39,,79129.89397,,,,,,,,,23901.59,47208.54,38764.79,49221.47,51483.32,51643.98,50635.85,46639.37,,,,28.12,,35.14,67.18,,11.06,,-1.52,,0.00,,26.01,,106.48,,,1.04, 0   ,120000,,1467023,,58.94,78.23,,0.25,,,1.02,,,,0.00,32.32,6.44,2.15,8.2,0.00,0.24,3038,68.82,78.10,85.0,34.4,3.0,6.1,89.9,7.3,4.6,6.7,,39.36,19.81,,236.65,,,,,,0.66,0.59,0.42,4,-0.42,,,,,,,,,,,,,29.16,16133,,46,,5.540821478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,KGZ,3300684,5432000,1.47,,16475335463,,6448.34,2.41,2.85,,4987.97461,,,,,,,,,,1310.54,1649.38,1930.07,1947.53,2034.41,2189.90,2298.34,,,,9.18,,-5.03,,-8.83,,22.79,,3.68,,4.14,,80.76,,130.63,0.17,8.62,,-75000,,2502932,,46.08,,,,,475.0,20.83,,0,0.49,0.00,1.16,4.87,2.80,32.1,0.00,0.00,2672,,67.14,84.5,52.8,5.8,9.3,84.1,13.0,8.4,9.2,330.5,41.24,9.36,84.32,19.44,,33.43,42.77,8.82,,,-1.29,-1.22,6,0.54,,43.00,37.40,51.10,13.00,,16.70,3.9,68.0,,,,41.49,196276,,36,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laos,LAO,LAO,3161118,6257000,2.01,,31233133137,,10204.59,1.52,2.11,1597.380524,5330.410386,,,,,632.64,743.29,784.74,1043.51,1104.86,1312.90,1437.44,1843.53,2004.44,2341.35,2478.07,2633.87,3.72,,6.42,27.13,14.61,15.81,,,,,,5.36,,5.36,,,,,,9.48,,-75000,1470933,3091722,46.53,49.41,,,,,,74.92,5485,0,0.00,0.00,0.25,5.98,3.42,45.8,100.00,2.47,2227,47.24,65.41,83.6,70.0,1.7,4.6,,4.8,3.1,3.8,,4.75,2.09,51.18,16.88,,36.74,44.84,7.64,,0.51,-0.94,-1.14,7,0.00,,,,,,,,,,,1,,18.45,231130,,37,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,LVA,LVA,2461606,2232000,-0.29,,74656031859,,63065.31,2.51,3.12,,23800.61711,,,,,,,,,,6182.59,8282.33,12452.64,14007.21,15485.24,15158.96,12753.97,,,,16.45,,18.28,,18.02,,21.09,,1.23,,0.36,,43.11,,85.29,0.20,0.39, 23   ,-10000,,1196056,,53.59,,20.16,,3.08,1963.1,9.24,,0,0.00,0.31,3.44,1.96,1.31,7,0.00,0.00,3019,68.93,73.08,51.1,45.1,5.8,10.4,,18.4,12.0,10.4,488.0,66.67,28.56,99.46,216.62,,35.73,42.88,6.79,,0.59,0.83,0.30,2,-0.44,,43.10,19.90,42.30,22.40,54.50,21.20,3.3,55.7,,,,56.85,62353,,31,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,LBN,LBN,3098996,4099000,0.82,,2.56E+11,,181008.75,,,76213.80206,36474.23078,,,,,17689.62,19022.66,14185.28,22085.69,8622.87,10159.41,8888.31,10012.54,10209.12,11110.58,12157.63,12944.58,-1.13,,22.21,50.51,37.21,3.28,,5.43,,15.54,,16.08,,13.91,,47.02,,69.28,,6.47,,-12500,773497,1454721,24.96,35.49,,16.55,,5.27,14003.1,1.81,515,0,0.00,0.00,3.21,4.54,1.84,11.1,0.00,0.01,3107,65.85,72.23,81.7,48.4,,,82.1,,,,,23.68,17.76,36.13,114.46,,,,,,0.13,-0.64,-0.80,5,1.51,,,,,,,,,,,,,33.79,10254,,39,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,LSO,1195487,1910000,1.38,1.03E+09,9771494343,2046.14,11303.95,1.64,2.19,1507.03372,2677.624609,,,400.74,514.13,545.97,632.72,785.14,758.90,906.63,988.58,1103.50,1166.92,1248.35,1301.14,1341.69,1311.41,2.14,-0.55,20.41,29.70,32.86,-44.60,-71.43,-29.13,14.47,50.36,0.00,3.99,,3.99,103.98,111.74,118.44,162.96,,,,-36000,501921.8,935451,41.98,48.98,15.04,34.08,41.46,8.39,85.7,39.30,,0,0.00,1.44,,5.76,3.26,61,0.00,0.00,2468,50.73,45.35,94.9,77.3,3.4,5.8,45.0,1.2,0.8,6.7,,3.72,1.94,31.98,,,52.5,56.35,2.97,,0.25,-0.26,0.14,3,-0.36,,,,,,,,,,1,,,-29.69,30448,0.2867,21,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,LBR,LBR,1616234,3583000,2.34,,3287696047,,2253.30,1.33,2.02,4410.729467,882.6411573,,,,,1879.79,1761.78,1767.32,1453.60,519.10,156.03,525.10,342.64,357.84,402.61,396.04,396.74,-4.38,,24.37,15.94,12.26,-99.55,27.87,,11.81,,,24.85,29.11,24.85,60.00,,125.13,,,,,247889,645573.2,1610532,39.94,44.95,45.15,,26.60,,,62.07,,0.657263566,0.00,10.38,0.19,6.55,5.81,79.9,100.00,19.73,2163,46.56,58.67,92.0,84.6,1.2,3.9,,8.9,5.3,2.3,,0.51,0.05,21.29,,,38.16,44.95,6.44,,,-1.09,-0.56,3,0.99,,,,,,,,,,1,,,6.43,91043,,34,,2.448974553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,LBY,2569606,6324000,2.65,,1.56E+11,,66681.18,1.46,2.52,,51360.78887,,,,,,,,,15239.58,14617.15,17259.63,18014.67,19308.18,19824.02,19685.95,19235.12,,,,9.86,,55.37,,,,,,-4.50,,2.74,,,,,,,,20000,,2368400,,37.45,,,,,,62.07,,0,30.42,0.03,9.29,7.51,2.64,16.8,0.00,0.02,3144,55.09,74.55,94.9,52.4,1.3,7.3,,16.5,10.5,7.3,,5.51,17.15,77.94,23.55,,,,,,,-0.75,-1.10,7,-0.62,,,,,,,,,,1,,,26.99,1618321,,53,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,LTU,3305195,3555000,0.21,,97615807494,,57937.62,2.56,3.19,,31822.67251,,,,,,,,,,7167.57,8933.26,13239.82,14331.17,15652.01,16219.17,14167.88,,,,10.33,,13.82,,,,,,3.09,,0.62,,,,,0.20,, 15   ,-100000,,1582734,,44.52,,,,,2186.4,9.77,,0,0.09,0.06,4.52,2.19,1.55,5,0.00,0.00,3419,70.87,72.91,57.7,45.1,6.1,10.9,,25.4,16.5,10.9,484.0,58.81,22.38,148.57,155.14,,37.57,44.40,6.62,,0.32,0.72,0.25,1,-0.66,,40.80,21.30,35.70,17.40,62.90,23.40,3.4,55.5,,,,55.35,64802,,38,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,LUX,LUX,358950,491000,0.92,2.62E+10,93759461793,166749.94,418539.04,2.59,2.85,56750.79653,182711.184,14807.06,15320.02,17353.40,19556.32,22789.86,24841.26,27396.57,31246.94,43315.33,49748.08,62637.48,71175.45,78672.14,86083.45,89832.95,84524.63,3.60,,21.92,18.77,22.57,49.26,31.04,49.78,15.28,16.87,,-188.36,30.82,372.58,82.79,136.17,177.91,305.57,1.00,, 38.95   ,20000,157121.5,227143,43.77,46.26,32.15,13.26,2.55,0.30,11582.3,1.22,,0,0.00,0.00,22.57,1.55,1.59,1.5,0.00,0.00,3685,71.36,80.09,49.3,46.7,7.9,10.1,,16.5,11.0,9.8,486.5,85.27,54.96,144.42,634.98,,30.76025,38.85,8.43,,0.53,1.83,1.97,1,-1.44,,48.50,26.10,39.10,24.70,,26.00,,76.4,,,1,49.78,2696,,10,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macao,MAC,MAC,254331,560000,2.32,,53028196129,,156681.14,2.18,2.83,28458.85804,87938.3167,,,,,7426.68,10199.78,13525.41,14873.48,20740.72,25058.69,22135.62,37230.91,41970.75,50224.63,53124.62,51056.60,4.74,,25.66,17.68,26.16,70.27,,65.69,,7.92,,3.08,,7.48,,42.11,,131.70,,,,50002,91153.35,325134,35.84,58.06,,,,,,,,0,0.00,,3.03,2.57,0.97,,,,,67.73,80.88,54.2,25.2,4.2,7.4,91.9,12.8,8.4,7.2,518.0,52.21,31.69,192.83,295.27,,,,,,,0.68,0.40,,-0.57,,,,,,,,,,,,,22.17,,,44,,3.283899529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,MKD,MKD,1684000,2067000,0.60,,38182772163,,41715.95,,,,17546.48494,,,,,,,,,6947.73,5817.95,6336.05,6613.55,6865.22,7331.72,7705.01,7677.74,,,,19.66,,-0.34,,3.53,,17.90,,4.15,,2.69,,67.27,,111.57,0.17,,,-10000,,904448,,43.76,,36.34,,11.32,2563.0,7.44,1681,0,0.00,0.11,5.52,2.65,1.44,9.8,0.00,0.00,2983,68.70,74.35,58.5,42.3,,,,,,,,51.77,21.65,95.14,221.67,,44.2,50.28,5.41,,0.50,-0.22,-0.03,3,0.22,,41.90,14.70,44.80,56.40,74.00,11.00,4.2,60.6,,,,41.57,25823,,39,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,MDG,MDG,7603790,20700000,2.95,1.54E+10,32752863626,4354.98,3207.38,,,2051.352841,1610.409763,,,841.97,815.19,950.33,954.61,810.01,761.44,916.88,800.15,810.87,741.61,763.19,776.96,810.75,753.19,-0.70,,17.15,25.76,14.91,7.73,3.11,8.85,10.84,11.47,0.20,,0.20,6.33,20.89,52.20,36.75,80.68,0.11,,,-5000,3538478,9681415,46.54,46.77,15.85,16.00,34.04,29.11,90.0,70.15,785,0.042179634,0.00,0.18,0.12,7.22,4.62,40.5,100.00,5.06,2133,45.90,60.79,97.7,85.0,,,31.5,,,,,1.63,0.92,30.56,5.02,,47.24,53.49,6.15,,0.88,-0.74,-0.25,6,0.67,-1.31,,,,,,,,,1,,,-19.43,579021,,24,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,MWI,MWI,5317309,15000000,3.05,2.10E+10,36873104352,8357.97,5947.48,1.43,1.85,1787.393021,1452.952041,,297.42,329.07,417.42,694.05,845.40,882.62,677.04,567.18,532.33,544.10,517.00,535.38,543.50,582.39,611.08,-0.95,-0.79,81.04,32.40,44.65,-7.68,16.95,17.22,14.10,20.88,,,3.61,1.28,45.89,37.71,75.02,67.76,,, 38   ,-20000,2514964,6308657,47.30,42.06,20.34,16.11,37.23,30.53,64.5,72.97,9103,0,0.00,0.86,0.07,7.53,5.46,68.8,100.00,6.72,2127,42.74,53.81,98.8,97.2,1.4,4.2,29.5,0.3,0.2,3.3,,4.69,1.15,15.72,1.95,,39.02,46.42,6.98,,0.67,-0.19,-0.47,3,0.06,-1.57,,,,,,,,,1,,,-13.53,110956,0.0913,16,,-0.22715242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,MYS,MYS,12300000,27800000,2.40,7.08E+10,8.88E+11,16835.44,73044.70,1.96,2.81,8985.295342,26154.19468,,1339.95,1470.16,1770.32,2095.98,3069.94,4228.23,4801.95,6063.09,8687.40,9707.68,10719.79,11169.06,11644.21,11898.16,11295.98,3.83,1.00,25.73,20.65,31.97,35.75,23.26,36.03,17.13,14.11,6.26,-3.58,3.54,0.72,42.54,74.88,85.56,171.29,1.00,2.06, 27   ,130000,4202444,12006802,34.17,43.19,33.97,44.27,28.88,9.52,,12.00,,0.020502097,7.86,0.00,7.32,4.59,2.51,5.7,33.91,2.27,2908,64.21,74.58,84.6,52.0,3.7,9.5,,13.9,5.0,9.2,,57.61,15.70,110.60,196.83,53.00,46.21,51.45,4.54,0.66,0.59,0.55,0.02,4,-0.07,,50.70,25.90,33.30,59.60,,8.80,,,,1,,2.16,323151,0.3751,9,,1.271195408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,MDV,MDV,132608,396000,3.22,,6816859765,,35618.93,1.93,2.23,2307.915076,11810.20438,,,,,731.15,672.65,982.70,1531.16,2057.63,2362.97,3133.59,4682.06,4386.18,4692.22,4737.92,4459.98,5.56,,38.80,39.85,40.95,20.39,,,,,,7.63,,7.63,,94.24,,161.28,,30.10,,0,38649.34,149545,29.15,37.76,,17.42,,5.05,,,2157,0,0.00,0.00,2.99,7.02,2.00,10.9,,,,53.07,71.99,85.9,47.8,4.2,4.7,,1.3,0.4,4.4,,28.39,15.84,147.94,112.08,,37.37,44.24,6.51,,,-0.09,-0.69,3,0.15,,,,,,,,,,,1,,,,0.2478,38,,4.249177943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,MLI,MLI,6217503,13400000,2.26,6.52E+09,26192464306,3432.54,6745.53,1.10,1.41,1578.859645,3552.578946,,,541.37,438.66,473.63,482.42,563.60,586.54,688.73,706.02,748.17,890.59,918.61,937.31,980.54,999.49,2.14,1.23,23.10,24.02,20.68,20.69,-4.08,,11.77,,0.24,,0.31,1.21,29.26,,38.93,,0.34,9.90,,-201626,1899757,3769987,30.55,28.13,11.15,,63.28,,,74.92,,0,0.00,0.00,0.05,6.71,6.52,100.5,98.99,28.53,2579,38.64,48.81,84.2,86.8,0.2,1.4,38.3,1.6,1.0,1.0,,1.92,0.62,28.76,3.33,,38.99,46.01,6.52,,0.69,-0.41,-0.69,2,0.27,,45.70,54.20,25.30,61.80,,17.50,,,1,,,17.33,1249355,,19,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,MLT,MLT,327842,404524,0.62,,22260589301,,131952.85,2.22,2.79,15478.99591,50566.12569,,,,,4415.62,5541.49,9261.91,10315.50,13415.77,16627.51,20089.63,20635.30,21301.68,21890.56,22352.38,21632.50,4.01,,25.43,13.09,24.98,13.01,8.92,15.08,17.00,21.68,1.42,-25.08,3.34,11.21,86.33,73.65,160.02,147.83,,-0.04, 35   ,5000,117367.7,173058,35.80,42.78,64.41,32.98,6.06,1.83,,0.98,,0,0.00,,6.66,2.27,1.44,6.1,,,2592,71.50,79.90,52.2,42.8,6.0,9.9,,10.5,6.9,9.4,,57.97,60.90,101.71,165.08,,,,,,0.04,1.51,0.90,1,-1.06,,53.50,41.10,17.00,46.50,,20.70,,72.0,,,,35.83,,0.0359,23,,1.25915615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,MHL,MHL,26423,65000,2.65,,3423483244,,,,,,,,,,,5338.23,6986.83,6509.98,6756.35,9783.14,9042.03,6940.50,7525.16,7422.17,7353.84,7433.32,7094.95,0.05,,5.30,58.08,52.86,-45.23,,,,,,,,,,,,,,,,,,,,,,,,,,,2982,0,0.00,,1.70,,,29.3,,,,,,,,,,78.2,,,,,3.61,7.21,1.64,81.68,,,,,,,-0.32,-0.37,1,-1.46,,,,,,,,,,,,,,,,69,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,MRT,MRT,1404403,3129000,2.36,5.39E+09,14973062716,10205.55,11298.39,1.41,1.93,3797.424183,3533.097883,,,586.95,1014.64,1287.55,1427.81,1389.65,1250.94,1269.60,1286.37,1229.91,1374.35,1717.90,1616.17,1616.69,1573.68,0.29,-0.94,45.92,27.19,28.53,-2.67,3.07,7.35,35.18,20.55,-25.78,,-25.78,-1.27,60.40,67.55,98.84,117.29,0.14,,,9900,528046.1,1393694,37.60,44.54,34.08,34.65,29.59,20.55,,50.21,642,18.29950151,0.00,0.48,0.62,6.68,4.39,74.3,85.12,4.55,2823,49.85,56.97,91.8,72.9,1.7,3.7,,2.3,1.5,2.6,,2.28,2.26,66.32,14.09,,39.04,45.66,6.18,,0.62,-0.84,-0.66,6,1.17,,,,,,,,,,1,,,20.27,1022853,,19,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,MUS,MUS,885461,1284000,1.09,7.62E+09,36097344732,25119.48,63200.35,1.98,2.45,7912.977579,21464.8683,2821.84,2471.54,2208.24,2358.52,1979.27,2709.84,2975.87,3581.11,5012.67,5946.76,7521.34,8320.86,8551.15,9001.85,9336.31,9483.62,3.68,1.61,44.23,23.73,31.96,15.63,,10.78,,14.62,,1.57,,2.99,,59.07,,107.52,0.91,2.23, 15   ,0,303230.8,567298,34.25,44.18,,29.07,,4.28,2619.9,8.02,8493,0,0.00,0.01,3.08,3.14,1.50,15.4,0.00,9.72,2936,64.14,72.64,73.7,42.7,4.1,7.2,87.2,3.3,1.5,6.7,,22.74,29.72,85.21,162.16,45.70,,,,0.57,0.46,0.94,0.74,1,-0.61,,,,,,,,,,1,,,-20.28,,0.0096,21,,2.033099006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,MEX,60700000,111000000,1.78,8.40E+11,3.22E+12,45890.71,66081.60,1.87,2.76,25415.52452,27365.5904,3398.89,3978.56,4588.56,5486.34,6345.24,7662.34,9398.36,8999.61,8788.30,8617.76,10569.75,11964.24,12417.94,12696.33,12751.01,11628.87,1.23,-0.91,22.84,20.77,20.33,20.79,20.97,20.92,10.32,11.64,,1.99,0.52,1.65,9.62,29.28,16.51,57.13,0.69,, 28   ,-2430065,1.83E+07,47168892,30.15,42.49,32.38,34.81,11.81,4.27,1312.0,17.92,,0.280005392,5.10,0.00,4.47,5.93,2.07,14.7,41.13,0.47,3245,63.92,75.30,99.6,53.6,3.5,8.5,,16.8,13.9,8.2,417.5,26.47,18.08,77.75,135.81,57.90,51.74,56.23,3.89,0.55,0.54,-0.57,-0.27,2,0.68,0.75,39.70,58.70,36.60,39.10,51.60,15.60,3.6,71.3,,,,23.92,1923122,,4,,3.018894063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,FSM,66222,108000,1.44,,1805036120,,,,,,,,,,,2278.95,3120.81,2762.80,2883.34,2951.89,3682.75,3385.18,3477.56,3464.86,3460.58,3364.19,3330.40,0.19,,36.15,32.35,35.53,-26.80,,,,,,,,,,,,,,,,-9000,,,,,,,,,,,3260,0,0.00,,0.57,6.68,3.49,31.6,,,,63.85,68.78,106.9,68.4,,,,,,,,15.35,7.86,34.32,,,61.1,63.98,1.59,,,0.09,-0.11,1,-1.30,,,,,,,,,,,,,,,0.1977,61,,1.915928897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,MDA,3846519,4321000,0.34,,25372271453,,14238.06,2.37,2.94,,7248.881901,,,,,,,,,,1591.07,1580.04,2236.68,2344.93,2376.82,2562.42,2493.08,,,,15.74,,-11.37,,-9.43,,22.27,,2.13,,2.37,,73.40,,110.23,0.17,4.31,,-171748,,1486105,,34.39,,12.93,,10.03,,14.88,,0,0.06,0.09,1.28,2.48,1.50,14.6,0.00,0.01,2907,65.01,68.62,55.5,38.8,5.4,9.7,88.1,11.5,7.5,9.5,,35.94,31.60,77.28,26.60,,38.03,45.27,6.77,,0.55,-0.45,-0.74,3,0.50,,53.20,16.80,25.20,41.60,29.60,17.90,3.5,48.7,,,,47.20,32541,,33,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,MNG,1445600,3041000,2.19,,32315283300,,19705.00,2.41,2.91,3984.917812,6689.142107,,,,,1452.29,1656.68,2008.37,2492.05,3145.71,1862.17,2148.02,2604.58,2785.20,3043.58,3309.16,3168.38,1.91,,53.09,39.88,37.95,29.98,,43.41,,1.40,,11.60,,14.84,,62.63,,118.46,,6.10,,-10000,600988.4,1440401,41.57,47.37,,32.68,,23.51,816.5,17.88,,7.267765058,3.82,0.00,4.05,7.07,1.99,24.3,0.00,0.00,2254,54.63,66.92,87.5,42.9,4.8,8.3,92.2,12.5,8.0,8.4,,13.10,7.07,84.20,133.13,,,,,,0.37,-0.39,-0.77,2,-0.33,,,,,,,,,,,1,,46.85,1558417,,33,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,MNE,MNE,549000,672000,0.59,,14436363321,,,,,,,,,,,,,,,9127.93,3987.77,4910.02,5886.65,6353.44,7015.33,7462.59,7303.21,,,,19.74,,-10.37,,,,,,,,31.99,,,,,,,,-5000,,,,,,,,,,,1604,,,,,,,,,,,,,,,,,,,,,402.0,,,,,,36.52,44.04,7.10,,,,,,,,,,,,,,,,,,,,13996,,83,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,MAR,17700000,31300000,1.68,6.70E+10,3.91E+11,13206.92,33342.14,1.29,2.02,6432.020212,8606.438789,851.35,759.35,736.76,1210.06,1476.97,1844.62,2099.97,2137.02,2348.43,2273.83,2560.11,3045.38,3250.53,3328.60,3509.93,3294.67,1.71,-0.94,42.35,43.81,33.53,21.13,14.51,25.07,16.09,17.97,0.00,1.61,0.06,2.16,33.35,39.49,55.82,68.08,0.46,5.99,,-425000,5076125,11982099,28.68,38.28,,28.53,,16.38,1172.7,25.84,1059,1.382500797,0.01,0.00,1.49,6.42,2.33,33.2,0.00,0.08,3230,54.23,71.59,103.4,50.9,0.9,4.4,,9.3,6.0,3.2,,32.19,10.99,79.11,24.53,,40.88,47.88,6.52,0.58,0.48,-0.16,-0.23,5,0.43,-0.57,45.00,50.90,27.30,68.20,,13.00,4,68.2,1,,,31.83,411474,,7,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,MOZ,10400000,21900000,2.19,5.84E+09,20386821891,1127.13,1936.82,1.26,1.40,944.6938796,1511.319302,,,357.70,383.42,412.51,470.65,469.47,357.41,405.60,359.38,437.69,634.06,676.76,715.60,743.42,759.37,1.41,0.63,11.06,12.60,13.32,7.01,,2.23,,13.42,,9.02,,9.00,,43.79,,68.86,0.14,, 32   ,-20000,5181279,11003829,49.82,50.25,,23.62,,31.46,101.8,76.00,2352,0.000683417,3.24,0.53,0.12,6.55,4.97,95.9,100.00,12.62,2071,41.55,48.08,88.0,89.6,0.8,1.2,23.4,0.5,0.3,0.7,,2.68,0.36,26.08,5.77,,45.61,51.46,5.23,,0.69,-0.58,-0.41,4,-0.48,,,,,,,,,,1,,,-17.29,781073,0.2605,23,,3.103943807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,NAM,NAM,915325,2109000,2.45,1.13E+10,30953290881,40784.82,40703.60,1.84,2.39,12802.01723,12870.10642,,,2481.49,3188.52,3793.53,3875.10,3880.24,2931.91,3309.03,3196.93,3367.14,4301.00,4811.75,4779.91,4954.59,4777.39,0.62,-0.50,40.61,31.06,29.25,3.44,,13.88,,24.24,,-0.68,,5.29,,59.89,,106.51,,, 37   ,-1000,277063.9,782861,30.27,37.12,,32.68,,9.35,752.4,40.91,1229,0.308998198,0.00,0.00,1.45,6.65,3.29,33.6,61.95,3.88,2349,55.15,61.58,91.4,68.0,3.8,7.4,,3.8,2.4,7.7,,5.87,6.54,56.05,109.49,,,,,,0.63,0.26,0.23,2,-0.80,,,,,,,,,,1,,,-22.10,802492,,28,,1.548204361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,NPL,NPL,13200000,28600000,2.27,1.12E+10,93426316374,2172.35,7200.07,1.16,1.93,1785.493418,2604.138556,,,632.24,655.47,685.99,698.01,699.06,795.84,867.34,963.26,1075.14,1045.85,1068.41,1092.47,1142.62,1211.67,1.62,-1.06,14.00,35.96,21.72,14.43,10.03,8.00,7.59,11.15,,0.30,,0.30,13.37,37.42,22.27,53.12,0.26,16.15,,-100000,5160306,13307188,39.09,46.53,8.18,15.91,71.76,33.85,102.1,92.94,6739,0,0.00,4.20,0.12,6.08,2.82,38.6,65.14,0.03,2349,45.32,67.07,82.5,68.3,0.4,3.2,,3.1,2.0,2.4,,2.13,2.80,25.97,4.37,,47.3,54.24,6.10,,0.66,-0.96,-0.75,4,1.81,,,,,,,,,,,1,,28.30,147403,,18,,1.345783712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,NLD,NLD,13700000,16700000,0.58,6.34E+11,1.49E+12,126840.56,163958.25,2.77,3.08,56570.92418,68873.66859,9835.14,11662.97,13017.26,15359.38,18596.18,20639.72,22917.75,23496.33,26883.04,29074.50,34503.61,35888.48,36810.99,37728.92,38653.69,37050.73,1.72,0.12,19.35,17.38,18.76,26.59,25.78,25.73,22.86,28.53,-1.34,-3.69,1.32,4.20,45.40,62.19,94.48,131.62,1.00,, 52   ,100000,4998401,8983799,36.48,53.80,34.90,23.97,4.73,1.73,22603.0,2.46,43226,0,0.82,0.00,10.57,1.66,1.79,3.7,0.00,0.00,3243,74.50,80.55,56.6,48.8,8.7,11.2,,24.8,16.5,10.9,524.0,89.96,44.28,128.13,682.36,28.60,,,,0.67,0.11,1.78,2.10,1,-0.95,,41.40,40.20,38.10,9.80,,45.00,,80.2,,,1,52.21,32983,0.6874,8,,1.336385459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,NZL,3117800,4213000,0.89,1.14E+11,2.79E+11,91997.43,121457.90,3.04,3.25,45621.16478,49837.06365,11383.35,11850.69,13802.20,15920.96,16328.53,18147.97,17385.79,19044.78,19584.17,21371.69,23645.36,27448.55,27835.92,28300.89,27776.99,27864.89,1.26,-0.14,17.16,18.25,18.60,21.61,19.76,19.80,18.17,20.48,0.92,1.62,1.09,-0.99,30.38,26.53,53.65,54.73,0.40,, 38   ,50000,1240252,2355572,39.78,55.91,31.02,,10.23,,,7.69,2092,0.270108374,0.59,0.00,7.72,2.33,2.14,4.8,0.00,0.00,3150,72.22,80.30,63.1,49.6,11.8,12.5,,49.1,24.4,12.4,525.5,83.41,43.33,108.90,473.73,30.04,,,,0.67,0.40,1.91,2.38,1,-0.99,,34.60,25.40,50.70,15.10,47.80,51.20,3,75.9,,,,-41.81,249004,,9,,2.157666243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
